ID,Direccion,Barrio,Precio,Ambientes,Caracteristicas,Link_Fotos
VIV-212267,"san Lorenzo 1003,tandil",Tandil,USD 55.000,2 ambientes,Accesible | Agua corriente | Alumbrado público | Apto crédito | Cable TV | Calefacción | Con conexión para lavarropas | Cordón cuneta | Desayunador | Dormitorio en suite,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/4/6a6cd176-ef35-41f5-8f73-e538a2907452_wm.jpeg
VIV-203860,liniers 1232,Tandil,USD 83.000,3 ambientes,Agua corriente | Alumbrado público | Apto crédito | Área verde | Barrio abierto | Cable TV | Calefacción | Cocina | Con conexión para lavarropas | Cordón cuneta,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/2/1093e4c9-0062-4796-89f0-1462adfb8f59_wm.jpeg
VIV-203866,Gral. Arenales 700,Tandil,USD 100.000,3 ambientes,Agua corriente | Aire acondicionado | Alumbrado público | Apto crédito | Barrio abierto | Cocina | Comedor | Cordón cuneta | Desague cloacal | Desayunador,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/2/ad994616-d60c-4158-9a26-78e9d64d9c48_wm.jpeg
VIV-209439,Pellegrini 157 Tandil buenos aires,Tandil,USD 67.000,2 ambientes,Accesible | Agua corriente | Alumbrado público | Apto crédito | Calefacción | Cocina | Gas natural | Internet | Living comedor | Luz,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/3/185bc181-fed4-4c78-a91e-2e44889a876f_wm.jpeg
VIV-208892,Chacabuco 1000,Tandil,USD 75.000,2 ambientes,Agua corriente | Apto crédito | Ascensor | Balcón | Calefacción | Cocina | Comedor | Con conexión para lavarropas | Gas natural | Internet,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/3/36b6b85b-c5f4-446e-a93c-4646636c78be_wm.jpeg
VIV-205683,Avenida San Martín,Rauch,USD 1.300.000,,"Oportunidad única para adquirir un campo ganadero en venta en Rauch. Este extenso terreno de 300 hectáreas está listo para funcionar, ideal para quienes buscan invertir en el sector agrícola-ganadero. Su excelente ubicación ofrece un acceso muy bueno, facilitando la movilidad y logística de la producción. El campo cuenta con montes, molinos y aguadas distribuidas […]",https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/3/254ce88c-a910-4c00-998c-0b21de8e8153_wm.jpeg
VIV-205189,25 DE MAYO AL 1000,Tandil,USD 260.000,6 ambientes,Accesible | Agua corriente | Aire acondicionado | Alumbrado público | Ápto profesional | Barrio abierto | Cable TV | Caldera | Calefacción | Cocina,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/2/ba337445-df74-4d6b-b173-5a3f4e3a2f34_wm.jpeg
VIV-205028,URIBURU 1084,Tandil,USD 170.000,3 ambientes,Accesible | Agua corriente | Balcón | Barrio abierto | Cable TV | Caldera | Calefacción | Cocina | Comedor | Cordón cuneta,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/2/99c09d75-1b31-4ce8-b1be-e3323a22feee_wm.jpeg
VIV-204324,CADONA 2655,Tandil,USD 120.000,6 ambientes,Accesible | Agua corriente | Aire acondicionado | Área verde | Cocina | Comedor | Desayunador | Forestación | Internet | Jardín,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/2/7fff2767-b7cc-4a3a-a587-061aaa541c06_v_0.jpeg
VIV-203850,SANTAMARINA 150,Tandil,USD 320.000,8 ambientes,Agua corriente | Aire acondicionado | Alumbrado público | Balcón | Caldera | Calefacción | Cocina | Comedor | Cordón cuneta | Desayunador,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/2/44a55d6b-fd3f-4d92-b3c7-4c1d71aa41ad_v_4.jpeg
VIV-202645,Chacabuco 800,Tandil,USD 160.000,3 ambientes,Agua corriente | Alumbrado público | Ascensor | Balcón | Caldera | Calefacción | Camaras CCTV | Cocina | Comedor | Con conexión para lavarropas,https://storage.googleapis.com/portales-prod-images/5835/property-images/2026/2/6bfca458-83e5-4336-b023-29a2dcc6a0c0_v_9.jpeg
